uuid,title,description
dc049c0cde1ae606e70f29bf340bb2f9,HR Business Partner,"About the Role:We are hiring a highly qualified HR Business Partner who will work closely with business / functional leaders to provide thoughtful and relevant HR solutions based on a deep understanding of the market, business and HR methodology, to shape business transformation, build organizational capability, leadership strength and performance culture.Responsibilities  Partner with the assigned functional leaders and develop a deep understanding of business strategic goals and from that provide strategic business partnership  coaching to managers and leaders  Proactively engage in strategic business planning where there is HR impact in order to ensure successful implementation of HR programs and processes.  Manage and facilitate organizational design and development that foster growth, innovation, and organizational effectiveness  Coach managers  employees and enable them drive effective career conversations through educating them on the Lazada career framework, tools and provide guidance on career plans.  Execute on talent management strategies to support a team’s growth and individual development plans  Be a role model for Lazada culture, living our values while leading initiatives to build our desired culture  Design and implement programs to improve employee experiences and build Lazada a great place to workRequirements  8+ years’ experience in a HR Business Partner and/or multiple HR functions  Self-starter, motivated, comfortable in fa fast-paced start-up environment  Effective communication and problem-solving skills  Strong Business Acumen, strong relationship management skill  Excellent quantitative and qualitative analytical skills  Preferably within the tech or e-commerce industry  Ability to ensure customer-focused people service delivery excellence across the entire employee lifecycle"
6363c28a6557ed16bb2ae1f6e70fe7a1,Project Management Office Assistant,"Crédit Agricole Corporate and Investment Banking (Crédit Agricole-CIB) is the CIB arm of Crédit Agricole Group, world’s 12th largest bank by total assets.Our Singapore center is one of the 3 main IT Hubs for Credit Agricole CIB's worldwide business. We work daily with international branches located in 33 countries by:  Envisioning and preparing the Bank’s futures information systems  Partnering and supporting core banking flagships and transverse areas in their large scale development projects.  Providing premium In-house Banking applicationsThis unique positioning empowers us to bring our core banking business a sustainable competitive advantage on the market.We seek innovative and agile people sharing our mindset to support ambitious and forthcoming technological challenges.PositionThe position is located in Capital Markets IT (CMI) division which   manages information systems for capital markets activities. CMI teams   are mainly located in Paris, London, New-York, Hong-Kong, India and   Singapore. Position is located in Singapore.Singapore department is responsible for development and maintenance   of applications (in-house and package) used by worldwide users for all   the processes for Capital Market activities. It includes back-office and   market risk. The ideal candidate is able to execute true end-to-end   development and testing of software products in an agile lifecycle,   partnering with key technical and business stakeholders.This Department transverse PMO admin assistant role is to reinforce,   strengthen and further industrialize current Department transverse   activities.Main responsibilitiesDepartment Administrative Reporting Management  Contribution to define and implement new processes to further industrialize recurrent admin tasks  Implement and improve timely recurrent reporting for department Budget, Staff, Activities Management  Implement and improve timely recurrent Quality Control  Quality Assurance framework reporting  Implement ad-hoc reporting for CMI Management supportDepartment transverse activities Facilitation  Contribute to facilitate Department level processes for recruitment, onboarding, offboarding  Contribute to facilitate transverse activities on communication,   community management, compliance and security awareness, team   gamificationRequirementsCandidates should have 1-2 years experience in Admin or PMO assistant role.General  Excellent analytical  communication skills  Pro active and process oriented  Strong sense of confidentiality  commitmentTechnical  Microsoft Excel  Power Pivot (intermediate level)  Microsoft Power Point (intermediate level)  Microsoft Access (intermediate level)  Microsoft PowerBI (beginner level)Functional  Basics in Accounting and Finance Control  Admin Process ManagementEducation  Work Experience:  1-2 years experience in Admin or PMO assistant role  Diploma and above in relevant specialities"
a464ce53fb90bac5ea94bdd28d914ca9,Senior E&I Supervisor,"Responsibilities  Supervises the activities of a group of foreman in their activities involving the layout, installation, and repair of wiring, electrical fixtures, apparatus, and control equipment.  Experience in Supervising the Installation of the following as a minimuma. Cable Ladder  Support Fabricationb. Electrical  Instrumentation panelc. Field Instrumentsd. Instrument Tubings  Fittingse. Electrical  Instrumentation Cablesf. Cable Glanding  Termination Worksg. Able to Read Construction Drawingsh. Able to prepare Daily Work Instruction (DWI)i. Able to plan for 3S/5M  Prepare Site Progress Report and Manpower PlanningRequirements  Diploma  Minimum 7 Years Work Experience as Supervisor in Oil  Petrochemical Construction Industry.  Experience in Electrical and Instrumentation Installation Works  Preferably with Overseas Experience.  Lead a Team of at least 3 Foreman, with 15 workers under each Foreman  English Speaking  Writing Knowledge"
e76e23264b67e2cd177390ca09ca72ae,Anti Money Laundering (AML) Associate,"SummaryThe AML Team is responsible for the onboarding AML associated decisions across Singapore, Australia and BVI Divisions, thereby ensuring that the onboarding of new clients is in adherence with relevant local regulations and legal requirements, in support of continued OANDA growth.Responsibilities  Onboarding AML associated decisions and risk assessment, exercising both discretion and judgement, and after using initiative to conduct appropriate investigations:  Reviewing and assessing individual new account applications  Reviewing and assessing corporate new account applications  Reviewing and assessing new IBs  SME (subject matter expert) and point of referral/ escalation for:-  PIU updates  Deceased clients  Closing accounts  Joint accounts  Power of Attorney  Application anomalies  Adherence to local regulations (eg: MAS, ASIC and FSC) and relevant AML laws, via adherence to procedures.  Maintain an appropriate audit trail and documentation in all instances, to evidence/support the review and assessment of each onboarded applicant/ query.  Local point of escalation for all referrals/ suspicions, and when necessary following investigations and use of initiative to the Team Manager for further review and investigation.  Operate effectively and efficiently in order to ensure that personal variable volume lead quantative targets are met, as well as qualitative expectations.  Identify areas for development, in terms of: operational process, systems and individual training needs.  Other duties as required.Requirements   Ability to work independently and multi-task with minimal supervision.  Excellent decision making, time management and organisational skills.  Strong written and verbal communication skills, and solution focussed.  Minimum 2 years experience of processing new account applications.  AML focussed, with firm grasp of the purpose of the underlying regulatory and legal requirements.  Enquiring mind.  AML risk recognition, problem solving with maximum attention to detail.  Perform well under pressure.  Client focussed/ centric approach.Key Relationships  Internal: Know Your Customer (KYC) processing team  Anti-Financial Crime team  Sales team, Client Cash Management team"
0cf79fd36d957acc175dd80c5ab15189,0384 - Project Site Coordinator [ BCSS / supervise site workers / work progress ],"TUAS SOUTH |  [Travel islandwide]  Attractive Salary Package  5.5 days | 8:00am - 5:00pm | 8.00am-1.00pm  Company Benefits  Incentives  Career Progression OpportunitiesInterested applicants can also send your resume to supreme.leonteo@gmail.com and allow our Consultant to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.Roles  Responsibilities :  To attend meetings with consultants as well as technical and coordination aspect and site,  To coordinate daily activities and ensure all works carry out by the workers,  To make pro-active response on site problems and provide relevant solutions to management,  To supervise site workers and monitoring of work progress,  To make daily checks on work progress, housekeeping and safety implementation on site,  To be able to manage Project planning / scheduling,  To preparation of Risk Assessment ( RA ), Safe work procedure and method statement (SWMS) all other relevant safety documents,  To maintenance proper control of project documentation,  To process Permit-to-work applications,  To prepare project progress report to management,  To carry out risk assessments and other risk management activities,  To recommend risk control measures,  To adhere to safe work procedure (SWP),  To communicate risk assessment to all workers,  All other requirements as set out by Company.Requirements :  Building construction Safety Supervisor (BCSS)certification,  Work-at-height Supervisor (WAHS) certification, this will be provided  AutoCAD experience, not required but will be much preferred,  Proficient with Microsoft office (words, excel, powerpoint),  Possess Class 2 / 3 driving license w/personal transportation will be preferred,  Effective communication skills,  Candidates require at least 3 years experience (5 years preferred) in local construction industries,  Able to commit to a 5.5 days’ work week,Please include the following in your Resume Document *(*.DOC/PDF - Files should not exceed 2MB)   • Name   • Contact No.   • Nationality/PR Status   • Location/Address   • Recent Photo   • Expected Salary"
bcad3dd3f945f0e495202184f9a6769a,Junior Motion Graphic Artist,"Big 3 Media is a creative video production house based in Singapore that specialises in creative storytelling. Since 2008, we have ventured beyond the beaten paths to craft uniquely artful stories. We put ourselves in the shoes of our clients, target audience, and the characters of our story, to see the world through a myriad of perspectives.Big 3 Media has grown exponentially over the years. Not only do we have a sizeable team of committed and talented individuals and an ever-expanding clientele, but we have also extended our area of expertise, in the forms of new products and services, with the acquisition of new technology and partnership with our sister organisations.Holding true to our Big 3 core values of being Creative, Empathetic and Better, we never stop seeking improvement, experience, and knowledge in the creative process, constantly pushing ourselves to so that you will see the bigger picture.Job Responsibilities  Be up to date with all the latest trends in motion design  Have a good grasp of typography  Direct and craft highly engaging animations in 2D, 3D form as well as mixed media  Work closely with producers, illustrators and other motion artists in all phases of animation, from concept development, design, asset creation to animation  Express creativity and excellent aesthetic judgement consistently  Ensure quality, stability, scalability and improvement of Animation production pipelineJob Requirements  Bachelor Degree or Diploma in Animation/Design or related field  Minimum 1-2 years related experience  Proficient in Adobe After Effects, Illustrator, Premiere, Photoshop and others  Cinema 4D or Blender experience is desirable  Familiar with 2D vector character animation and VFX  Detail-oriented, keen eye for colour, composition and typography  Excellent communication and time management skill  Able to confidently pitch ideas and lead creative direction with clients and internal teams  Able to work both independently and in a team environment"
e84725a1d274f3faa61e28a350895999,Construction Site Supervisor,Inspecting construction sites regularly to identify and eliminate potential safety hazards.  Supervising and instructing the construction team as well as subcontractors.  Educating site workers on construction safety regulations and accident protocol.  Enforcing site safety rules to minimize work-related accidents and injuries.  Handling site accidents in accordance with established accident protocol.  Maintaining an accurate record of construction employee attendance.
b831a6b69fdfdae1250dbe8c763b03d0,Project Manager,"• Define project schedules, manage activities, determine team priorities and drives the resolution of issues and defects; ensure assigned projects are completed on time, and up to client's expectations• Identify project risks, develop risk mitigation plans and communicate project risks to client and senior management• Analyze application requirements provided by client in order to understand the application vision to support the project team for a functional perspective• Participate in overall project design, manage product life cycle processes and procedures to ensure project meets financial, business and schedule goals and on time• Required to working with developers to explain requirements and make sure they are implemented to meet client's expectation, complete functional reviews of the product / application• Work with developers on interpreting requirements, supervising development process, ensuring work and quality are up to client's expectation and reviewing final deliverables• Ensure all product deliverables are satisfied with client (architecture, design documents, test cases, etc.)• Perform technical / functional review and analysis, prepare internal and external documentation, and work closely with client to drive project results  Mandatory Skills:Project Management  Mandatory Skills Description:• Degree in Computer Science or equivalent/higher.• 6-7+ years of Technical Project Manager experience with gradually increasing responsibilities and a demonstrated understanding of Project Management processes, artefacts and tools• E-mail Journaling domain knowledge experience is must / an added advantage.• Any prior feed onboarding experience will be very useful.• Ability to independently manage the operational aspects of ongoing projects and serves as liaison between project management and project team• An ability to drive to big picture goals and milestones while valuing and maintaining a strong attention to detail• An ability to quickly identify and drive to the optimal solution when presented with a series of constraints• Demonstrated ability in people management, strategic planning, risk management, change management, project management• Excellent judgment, analytical thinking, and problem-solving skills• Experience in business process mapping or operational redesign / improvement• Experience working with quality management approaches, techniques, and principles to ensure quality• Full understanding of software development lifecycle best practices• Knowledge of both theoretical and practical aspects of project management• Self-motivated individual that possesses excellent time management and organizational skills• Strong cross-functional collaboration skills, relationship building skills and ability to achieve results without direct reporting relationships• Strong oral and written communication skills and the ability to present a polished, professional, and diplomatic image to all stakeholders• Strong sense of personal responsibility and accountability for delivering high quality work."
5113bd10db88cbbbeacad5381f04535c,7104-Accounts Assistant cum Administrative Executive [Diploma Accounting/ Business | Entry level| partial set | 5 days | Marrymount MRT],"Position title : Accounts Assistant cum Administrative ExecutiveNearest MRT station: Marymount Station Exit BWorking days : 5 daysWorking hours : 10am - 5pmSalary : $2,000 - $ 2,600Requirements  Diploma in Accounting , partial set will do  Need basic accounting knowledge to handle GST submissions etc.  Looking for candidates who are fast learners, friendly and have good teamwork and communications skills to work in a SME environment  Proficient in MS 365, speaks and writes proficientlyJobscope :  Handle full spectrum of accounts AR and AP  Handle petty cash claims  Assist with GST quarterly submission and filing  Inventory management — record stocks received and issue invoices  Handle import and export shipping duties — issue purchase orders, arrange import and export shipments, receiving stocks  Other ad hoc duties assigned by Managing Director"
4fad2ecc983c3f04a2c3174a21d0e339,Business Development Executive,"Job description:Job TitleBusiness Development ExecutiveJob Highlights· Receive unique and higher incentives unlike any other financial advisors· Basic salary inclusive· Lifestyle and Family Values orientated environment· 1-1 Mentorship and Guidance· Become an expert in business and personal finance· Flexible working hours and locationJob DescriptionWe are looking for highly driven and motivated individuals to be a part of our team!As a Business Development Executive, you will focus on providing your clients with personal risk management, wealth accumulation to corporate financial planning. The best part is that your income grows passively along with the success of your client's portfolio! If you are a person who looks forward to challenges and expanding your social circle, we are looking for you!Our framework:· Skill and knowledge building (daily Field-Work with experienced seniors)· Be recognised and rewarded for your efforts· Conducive and entertaining work environmentWhat we are offering:· Attractive Bonuses + Commissions + Incentives· Personal guidance and mentorship by the high performing management· Tested and proven method to acquire sales volume and transactions· Build strong interpersonal and financial skills· Opportunity for management path· Other incentives and awardsRequirements:· Candidate must possess at least full A levels/ Diploma/ Degree· Highly driven and motivated individual aged 21 and above (MAS Requirement)· Required language(s): English"
